Area_sqft,Facing,Floor,Parking_sqft,Bedrooms,Price_Lakhs
806,West,6,178,4,71.19
2005,North,14,303,4,129.41
1796,West,8,82,2,98.39
1418,North,11,322,4,112.74
1408,West,7,227,2,83.33
2153,West,4,118,3,119.72
800,West,12,161,2,67.91
1871,East,15,230,1,118.8
1002,South,4,165,4,73.55
814,East,12,109,1,56.99
1571,South,4,260,1,85.9
2358,West,11,262,1,132.26
1938,East,12,112,2,112.27
1982,South,7,156,1,103.01
1906,East,12,146,1,110.23
2026,East,5,258,3,124.37
1548,North,2,277,4,103.52
874,North,2,277,1,54.41
2120,North,7,334,2,118.04
1438,North,14,288,3,101.68
1526,South,2,166,4,98.36
1299,East,7,109,3,89.86
969,East,11,246,4,84.62
2272,South,4,328,3,132.06
2018,West,11,344,2,122.79
1777,East,5,142,1,97.24
1354,North,13,144,4,102.83
2090,West,9,90,4,130.08
1605,East,9,118,1,91.6
1426,East,3,230,3,91.9
1438,East,7,228,1,85.51
1047,East,13,180,3,83.31
811,North,1,163,4,74.96
1621,East,12,304,1,102.64
2204,West,8,204,2,124.51
761,South,11,299,1,52.09
2152,East,10,341,3,130.64
2099,North,7,165,4,134.75
1134,South,5,134,1,64.48
1756,South,10,338,2,107.04
939,West,3,252,4,71.31
1977,North,9,158,2,116.84
1876,South,2,248,1,98.25
1270,South,10,219,2,78.26
768,West,10,325,3,67.5
2349,West,2,149,3,131.68
1430,North,12,348,2,95.27
2213,North,7,333,4,138.45
1837,West,12,128,3,114.66
2012,North,1,124,2,108.27
1980,West,3,224,4,123.34
990,South,8,92,4,82.62
1287,West,3,160,2,69.85
1467,South,5,197,1,79.1
1521,South,10,342,3,102.13
726,East,3,348,3,65.57
1607,North,11,121,1,90.63
920,East,2,321,3,66.91
1951,East,3,104,4,122.9
1846,West,9,282,1,108.08
2265,West,12,309,3,132.89
1954,East,3,321,1,109.05
1291,South,5,140,3,82.88
2344,South,14,322,2,134.59
1369,South,15,111,1,78.19
1220,West,9,220,4,92.11
2235,South,7,207,1,119.95
1298,North,6,165,3,89.63
783,South,10,85,1,55.96
1472,North,9,289,4,110.22
2043,North,5,170,3,122.06
981,North,1,259,4,83.29
1460,West,3,191,2,87.2
877,East,15,181,2,73.46
1852,East,7,320,3,116.96
1482,South,8,105,4,100.78
1228,East,8,279,4,94.19
1047,North,12,282,1,73.16
1638,West,1,182,3,95.2
1822,East,2,151,1,99.06
2296,West,5,81,2,122.46
1415,North,8,333,4,107.68
931,South,11,336,2,71.45
2108,East,8,145,4,138.93
1752,South,7,88,2,100.87
1876,South,15,113,1,99.49
820,North,3,98,2,56.21
1196,South,9,305,3,82.04
1994,North,9,321,4,129.2
2107,South,8,121,3,127.03
1412,East,13,282,4,110.28
2059,East,5,128,4,126.61
2123,East,15,179,4,136.97
1328,South,5,242,3,87.46
2222,West,9,275,2,122.54
1154,North,8,317,2,77.12
1069,South,13,92,1,66.95
1845,North,7,133,2,109.63
1764,South,5,156,4,113.76
894,West,1,164,2,51.56
